,광역권,지역명,규모구분,연도,월,분양가,평당분양가,평가,날짜
0,수도권,서울,전체,2015,10,5841.0,1770.0,비쌈,2015-10-01
1,수도권,서울,전용면적 60㎡이하,2015,10,5652.0,1712.0,비쌈,2015-10-01
2,수도권,서울,전용면적 60㎡초과 85㎡이하,2015,10,5882.0,1782.0,비쌈,2015-10-01
3,수도권,서울,전용면적 85㎡초과 102㎡이하,2015,10,5721.0,1733.0,비쌈,2015-10-01
4,수도권,서울,전용면적 102㎡초과,2015,10,5879.0,1781.0,비쌈,2015-10-01
5,수도권,인천,전체,2015,10,3163.0,958.0,보통,2015-10-01
6,수도권,인천,전용면적 60㎡이하,2015,10,3488.0,1056.0,보통,2015-10-01
7,수도권,인천,전용면적 60㎡초과 85㎡이하,2015,10,3119.0,945.0,보통,2015-10-01
8,수도권,인천,전용면적 85㎡초과 102㎡이하,2015,10,3545.0,1074.0,보통,2015-10-01
9,수도권,인천,전용면적 102㎡초과,2015,10,3408.0,1032.0,보통,2015-10-01
10,수도권,경기,전체,2015,10,3138.0,950.0,보통,2015-10-01
11,수도권,경기,전용면적 60㎡이하,2015,10,3126.0,947.0,보통,2015-10-01
12,수도권,경기,전용면적 60㎡초과 85㎡이하,2015,10,3239.0,981.0,보통,2015-10-01
13,수도권,경기,전용면적 85㎡초과 102㎡이하,2015,10,3496.0,1059.0,보통,2015-10-01
14,수도권,경기,전용면적 102㎡초과,2015,10,3680.0,1115.0,보통,2015-10-01
15,비수도권,부산,전체,2015,10,3112.0,943.0,보통,2015-10-01
16,비수도권,부산,전용면적 60㎡이하,2015,10,2950.0,893.0,보통,2015-10-01
17,비수도권,부산,전용면적 60㎡초과 85㎡이하,2015,10,2999.0,908.0,보통,2015-10-01
18,비수도권,부산,전용면적 85㎡초과 102㎡이하,2015,10,2957.0,896.0,보통,2015-10-01
19,비수도권,부산,전용면적 102㎡초과,2015,10,3500.0,1060.0,보통,2015-10-01
20,비수도권,대구,전체,2015,10,2682.0,812.0,보통,2015-10-01
21,비수도권,대구,전용면적 60㎡이하,2015,10,2614.0,792.0,저렴,2015-10-01
